Study,Phase_Group,Inhibitor_System,Technique,Medium_Type,Molarity_M,Dose_Value,Dose_Unit,Concentration_ppm,Temp_C,Time_h,CR_mm_yr,IE_percent
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,450.0,ppm,450.0,60.0,6.0,67.9,46.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,0.0,ppm,0.0,60.0,6.0,125.7,
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,50.0,ppm,50.0,70.0,6.0,167.3,13.1
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,150.0,ppm,150.0,70.0,6.0,167.4,13.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,250.0,ppm,250.0,70.0,6.0,155.8,19.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,350.0,ppm,350.0,70.0,6.0,138.5,28.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,450.0,ppm,450.0,70.0,6.0,132.8,31.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,0.0,ppm,0.0,70.0,6.0,192.4,
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,50.0,ppm,50.0,30.0,6.0,65.0,35.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,150.0,ppm,150.0,30.0,6.0,62.0,37.9
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,250.0,ppm,250.0,30.0,6.0,33.0,67.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,350.0,ppm,350.0,30.0,6.0,26.0,74.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,450.0,ppm,450.0,30.0,6.0,15.0,85.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,0.0,ppm,0.0,30.0,6.0,99.9,
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,50.0,ppm,50.0,40.0,6.0,36.6,34.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,150.0,ppm,150.0,40.0,6.0,36.3,34.4
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,250.0,ppm,250.0,40.0,6.0,18.8,66.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,350.0,ppm,350.0,40.0,6.0,15.9,71.3
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,450.0,ppm,450.0,40.0,6.0,11.1,80.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,0.0,ppm,0.0,40.0,6.0,55.4,
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,50.0,ppm,50.0,50.0,6.0,88.3,20.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,150.0,ppm,150.0,50.0,6.0,85.0,23.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,250.0,ppm,250.0,50.0,6.0,65.1,41.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,350.0,ppm,350.0,50.0,6.0,50.7,54.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,450.0,ppm,450.0,50.0,6.0,42.1,61.8
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,0.0,ppm,0.0,50.0,6.0,110.3,
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,50.0,ppm,50.0,60.0,6.0,144.3,16.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,150.0,ppm,150.0,60.0,6.0,140.9,18.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,250.0,ppm,250.0,60.0,6.0,122.0,29.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,350.0,ppm,350.0,60.0,6.0,32.5,81.1
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,450.0,ppm,450.0,60.0,6.0,101.4,41.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,0.0,ppm,0.0,60.0,6.0,171.8,
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,50.0,ppm,50.0,70.0,6.0,305.6,9.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,150.0,ppm,150.0,70.0,6.0,298.9,11.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,250.0,ppm,250.0,70.0,6.0,285.4,15.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,350.0,ppm,350.0,70.0,6.0,278.7,17.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,450.0,ppm,450.0,70.0,6.0,228.3,32.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.0,0.0,ppm,0.0,70.0,6.0,335.8,
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,50.0,ppm,50.0,30.0,6.0,13.8,47.7
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,150.0,ppm,150.0,30.0,6.0,7.4,72.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,250.0,ppm,250.0,30.0,6.0,5.0,81.1
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,350.0,ppm,350.0,30.0,6.0,3.2,88.1
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,450.0,ppm,450.0,30.0,6.0,2.1,92.2
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,0.0,ppm,0.0,30.0,6.0,26.4,
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,50.0,ppm,50.0,40.0,6.0,45.4,45.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,150.0,ppm,150.0,40.0,6.0,24.7,70.1
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,250.0,ppm,250.0,40.0,6.0,18.9,77.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,350.0,ppm,350.0,40.0,6.0,10.2,87.7
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,450.0,ppm,450.0,40.0,6.0,8.3,90.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,0.0,ppm,0.0,40.0,6.0,82.5,
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,50.0,ppm,50.0,50.0,6.0,85.2,35.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,150.0,ppm,150.0,50.0,6.0,66.9,49.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,250.0,ppm,250.0,50.0,6.0,61.6,53.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,350.0,ppm,350.0,50.0,6.0,44.6,66.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,450.0,ppm,450.0,50.0,6.0,38.0,71.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,0.0,ppm,0.0,50.0,6.0,131.1,
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,50.0,ppm,50.0,60.0,6.0,206.7,19.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,150.0,ppm,150.0,60.0,6.0,198.9,22.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,250.0,ppm,250.0,60.0,6.0,186.2,27.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,350.0,ppm,350.0,60.0,6.0,186.2,27.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,450.0,ppm,450.0,60.0,6.0,181.1,29.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,0.0,ppm,0.0,60.0,6.0,255.1,
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,50.0,ppm,50.0,70.0,6.0,470.9,8.3
